wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-05 14:14:43.465,1783232083.465075970,1783232083.464958191,329.169546852,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=2,points=2,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783232083.464958191|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=2,points=2,max_v=1,max_a=2,blend_radius=0.1"
2026-07-05 14:14:45.675,1783232085.675067902,1783232085.674771547,331.379538777,motion,move_joint,end,2.209813356,task_manager_node,"seq=2,ok=1,message=success","source_ros_time=1783232085.674771547|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=2,ok=1,message=success"
2026-07-05 14:14:45.675,1783232085.675157547,1783232085.674797773,331.379628264,action,grasp_move,end,2.209955454,task_manager_node,"target_x=0.215,target_y=-0.185,target_z=0.12,tool_roll=0,ok=1","source_ros_time=1783232085.674797773|source_node=task_manager_node|kind=action|name=grasp_move|phase=end|detail=target_x=0.215,target_y=-0.185,target_z=0.12,tool_roll=0,ok=1"
2026-07-05 14:14:45.675,1783232085.675208092,1783232085.674803257,331.379678824,action,suction_on,begin,-1.000000000,task_manager_node,,source_ros_time=1783232085.674803257|source_node=task_manager_node|kind=action|name=suction_on|phase=begin
2026-07-05 14:14:47.575,1783232087.575910568,1783232087.575637579,333.280381438,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=loaded,source_ros_time=1783232087.575637579|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=loaded
2026-07-05 14:14:47.576,1783232087.576658487,1783232087.576400995,333.281129284,service,set_controller_mode,end,0.000763416,task_manager_node,"mode=loaded,ok=1","source_ros_time=1783232087.576400995|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=loaded,ok=1"
2026-07-05 14:14:47.576,1783232087.576743364,1783232087.576422453,333.281214273,action,suction_on,end,1.901619196,task_manager_node,"ok=1,suction_ok=1,mode_ok=1","source_ros_time=1783232087.576422453|source_node=task_manager_node|kind=action|name=suction_on|phase=end|detail=ok=1,suction_ok=1,mode_ok=1"
2026-07-05 14:14:47.576,1783232087.576805592,1783232087.576427460,333.281276293,sequence,grasp_from_current_view,end,10.176120758,task_manager_node,ok=1,source_ros_time=1783232087.576427460|source_node=task_manager_node|kind=sequence|name=grasp_from_current_view|phase=end|detail=ok=1
2026-07-05 14:14:47.576,1783232087.576853037,1783232087.576432943,333.281323692,sequence,task_grasp_current_view,end,10.176136255,task_manager_node,ok=1,source_ros_time=1783232087.576432943|source_node=task_manager_node|kind=sequence|name=task_grasp_current_view|phase=end|detail=ok=1
2026-07-05 14:14:48.076,1783232088.076949596,1783232088.076740503,333.781420195,service,navigation_arm_event,begin,-1.000000000,task_manager_node,event=grabbed,source_ros_time=1783232088.076740503|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=begin|detail=event=grabbed
2026-07-05 14:14:48.606,1783232088.606536865,1783232088.606361628,334.311007835,service,navigation_arm_event,end,0.529621124,task_manager_node,"event=grabbed,ok=1,message=ack","source_ros_time=1783232088.606361628|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=end|detail=event=grabbed,ok=1,message=ack"
2026-07-05 14:14:48.606,1783232088.606606245,1783232088.606389046,334.311077024,sequence,move_to_carry_loaded,begin,-1.000000000,task_manager_node,,source_ros_time=1783232088.606389046|source_node=task_manager_node|kind=sequence|name=move_to_carry_loaded|phase=begin
2026-07-05 14:14:48.606,1783232088.606627703,1783232088.606419802,334.311098297,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=moving,source_ros_time=1783232088.606419802|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=moving
2026-07-05 14:14:48.607,1783232088.607018232,1783232088.606878757,334.311489034,service,set_controller_mode,end,0.000458956,task_manager_node,"mode=moving,ok=1","source_ros_time=1783232088.606878757|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=moving,ok=1"
2026-07-05 14:14:48.607,1783232088.607093573,1783232088.606907845,334.311564244,motion,move_joint,begin,-1.000000000,task_manager_node,"seq=3,points=1,max_v=1,max_a=2,blend_radius=0.1","source_ros_time=1783232088.606907845|source_node=task_manager_node|kind=motion|name=move_joint|phase=begin|detail=seq=3,points=1,max_v=1,max_a=2,blend_radius=0.1"
2026-07-05 14:14:51.217,1783232091.217641830,1783232091.217483282,336.922112606,motion,move_joint,end,2.610575438,task_manager_node,"seq=3,ok=1,message=success","source_ros_time=1783232091.217483282|source_node=task_manager_node|kind=motion|name=move_joint|phase=end|detail=seq=3,ok=1,message=success"
2026-07-05 14:14:51.217,1783232091.217727423,1783232091.217518330,336.922198348,service,set_controller_mode,begin,-1.000000000,task_manager_node,mode=loaded,source_ros_time=1783232091.217518330|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=begin|detail=mode=loaded
2026-07-05 14:14:51.218,1783232091.218203068,1783232091.218094826,336.922673773,service,set_controller_mode,end,0.000576496,task_manager_node,"mode=loaded,ok=1","source_ros_time=1783232091.218094826|source_node=task_manager_node|kind=service|name=set_controller_mode|phase=end|detail=mode=loaded,ok=1"
2026-07-05 14:14:51.218,1783232091.218404531,1783232091.218119621,336.922875277,sequence,move_to_carry_loaded,end,2.611730576,task_manager_node,ok=1,source_ros_time=1783232091.218119621|source_node=task_manager_node|kind=sequence|name=move_to_carry_loaded|phase=end|detail=ok=1
2026-07-05 14:14:51.218,1783232091.218468904,1783232091.218135118,336.922939602,service,navigation_arm_event,begin,-1.000000000,task_manager_node,event=completed,source_ros_time=1783232091.218135118|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=begin|detail=event=completed
2026-07-05 14:14:53.218,1783232093.218837261,1783232093.218621016,338.923307945,service,navigation_arm_event,end,2.000485897,task_manager_node,"event=completed,ok=0,reason=timeout","source_ros_time=1783232093.218621016|source_node=task_manager_node|kind=service|name=navigation_arm_event|phase=end|detail=event=completed,ok=0,reason=timeout"
2026-07-05 14:14:53.218,1783232093.218916655,1783232093.218638659,338.923387340,mission,pickup_sequence,end,18.128034592,task_manager_node,"task_index=6,point_id=0,ok=1","source_ros_time=1783232093.218638659|source_node=task_manager_node|kind=mission|name=pickup_sequence|phase=end|detail=task_index=6,point_id=0,ok=1"
2026-07-05 14:14:53.218,1783232093.218942165,1783232093.218643188,338.923413084,state,task_state,instant,-1.000000000,task_manager_node,"from=LOOKOUT,to=HOLDING,reason=pickup_complete","source_ros_time=1783232093.218643188|source_node=task_manager_node|kind=state|name=task_state|phase=instant|detail=from=LOOKOUT,to=HOLDING,reason=pickup_complete"
2026-07-05 14:14:53.218,1783232093.218964577,1783232093.218646526,338.923435122,mission,execute_command,end,18.128083706,task_manager_node,"action=pickup,task_index=6,point_id=0,ok=1","source_ros_time=1783232093.218646526|source_node=task_manager_node|kind=mission|name=execute_command|phase=end|detail=action=pickup,task_index=6,point_id=0,ok=1"
2026-07-05 14:16:08.070,1783232168.070967197,1783232168.070806980,413.775438169,mission,execute_command,begin,-1.000000000,task_manager_node,"action=place,task_index=11,point_id=0","source_ros_time=1783232168.070806980|source_node=task_manager_node|kind=mission|name=execute_command|phase=begin|detail=action=place,task_index=11,point_id=0"
2026-07-05 14:16:08.071,1783232168.071039677,1783232168.070871353,413.775510466,mission,place_sequence,begin,-1.000000000,task_manager_node,"task_index=11,point_id=0,place_height=-0.1","source_ros_time=1783232168.070871353|source_node=task_manager_node|kind=mission|name=place_sequence|phase=begin|detail=task_index=11,point_id=0,place_height=-0.1"
